tx,ty,tz
0.0,304799.0,8229600.0
-150090.9090909091,486371.90909090906,8270518.545454546
-300181.8181818182,667944.8181818181,8311437.090909091
-450272.72727272724,849517.7272727272,8352355.636363637
-600363.6363636364,1031090.6363636364,8393274.181818182
-750454.5454545454,1212663.5454545454,8434192.727272727
-900545.4545454545,1394236.4545454544,8475111.272727273
-1050636.3636363635,1575809.3636363635,8516029.818181818
-1200727.2727272727,1757382.2727272727,8556948.363636363
-1350818.1818181819,1938955.1818181819,8597866.909090908
-1500909.0909090908,2120528.090909091,8638785.454545455
-1651000.0,2302101.0,8679704.0
-1500909.0909090908,2453037.272727273,8587985.454545455
-1350818.1818181819,2603973.5454545454,8496266.909090908
-1200727.2727272727,2754909.8181818184,8404548.363636363
-1050636.3636363638,2905846.090909091,8312829.818181818
-900545.4545454546,3056782.3636363638,8221111.2727272725
-750454.5454545455,3207718.6363636362,8129392.7272727275
-600363.6363636365,3358654.909090909,8037674.181818182
-450272.7272727273,3509591.1818181816,7945955.636363637
-300181.8181818181,3660527.4545454546,7854237.090909091
-150090.90909090918,3811463.7272727275,7762518.545454546
0.0,3962400.0,7670800.0
-122381.81818181819,3962400.0,7643090.909090909
-244763.63636363638,3962400.0,7615381.818181818
-367145.45454545453,3962400.0,7587672.7272727275
-489527.27272727276,3962400.0,7559963.636363637
-611909.0909090909,3962400.0,7532254.545454546
-734290.9090909091,3962400.0,7504545.454545454
-856672.7272727273,3962400.0,7476836.363636363
-979054.5454545455,3962400.0,7449127.2727272725
-1101436.3636363638,3962400.0,7421418.181818182
-1223818.1818181819,3962400.0,7393709.090909091
-1346200.0,3962400.0,7366000.0
-1373909.0909090908,3811463.727272727,7485427.636363637
-1401618.1818181819,3660527.4545454546,7604855.2727272725
-1429327.2727272727,3509591.1818181816,7724282.909090909
-1457036.3636363635,3358654.909090909,7843710.545454546
-1484745.4545454546,3207718.6363636362,7963138.181818182
-1512454.5454545454,3056782.3636363638,8082565.818181818
-1540163.6363636362,2905846.090909091,8201993.454545455
-1567872.7272727273,2754909.8181818184,8321421.090909091
-1595581.8181818181,2603973.5454545454,8440848.727272727
-1623290.9090909092,2453037.2727272725,8560276.363636363
-1651000.0,2302101.0,8679704.0
-1500909.0909090908,2120528.090909091,8638785.454545455
-1350818.1818181819,1938955.1818181819,8597866.909090908
-1200727.2727272727,1757382.272727273,8556948.363636363
-1050636.3636363638,1575809.3636363638,8516029.818181818
-900545.4545454546,1394236.4545454546,8475111.272727273
-750454.5454545455,1212663.5454545456,8434192.727272727
-600363.6363636365,1031090.6363636365,8393274.181818182
-450272.7272727273,849517.7272727273,8352355.636363637
-300181.8181818181,667944.8181818181,8311437.090909091
-150090.90909090918,486371.9090909092,8270518.545454546
0.0,304799.0,8229600.0
-152400.0,304799.0,8146472.7272727275
-304800.0,304799.0,8063345.454545454
-457199.99999999994,304799.0,7980218.181818182
-609600.0,304799.0,7897090.909090909
-762000.0,304799.0,7813963.636363637
-914399.9999999999,304799.0,7730836.363636363
-1066800.0,304799.0,7647709.090909091
-1219200.0,304799.0,7564581.818181818
-1371600.0,304799.0,7481454.545454545
-1524000.0,304799.0,7398327.2727272725
-1676400.0,304799.0,7315200.0
-1674090.9090909092,486371.90909090906,7439245.818181818
-1671781.8181818181,667944.8181818181,7563291.636363637
-1669472.7272727273,849517.7272727272,7687337.454545454
-1667163.6363636365,1031090.6363636364,7811383.2727272725
-1664854.5454545454,1212663.5454545454,7935429.090909091
-1662545.4545454546,1394236.4545454544,8059474.909090909
-1660236.3636363635,1575809.3636363635,8183520.7272727275
-1657927.2727272727,1757382.2727272727,8307566.545454546
-1655618.1818181819,1938955.1818181819,8431612.363636363
-1653309.0909090908,2120528.090909091,8555658.181818182
-1651000.0,2302101.0,8679704.0
-1690770.7272727273,2247171.909090909,8468414.0
-1730541.4545454546,2192242.8181818184,8257124.0
-1770312.1818181819,2137313.7272727275,8045834.0
