tx,ty,tz
-2286000.0,304799.0,-4496209.0
-2286000.0,326046.9,-4503487.5
-2286000.0,347294.78,-4510766.0
-2286000.0,368542.7,-4518044.5
-2286000.0,389790.56,-4525323.5
-2286000.0,411038.47,-4532602.0
-2286000.0,432286.38,-4539880.5
-2286000.0,453534.25,-4547159.0
-2286000.0,474782.12,-4554437.5
-2286000.0,496030.06,-4561716.0
-2286000.0,517277.94,-4568995.0
-2286000.0,538525.8,-4576273.5
-2286000.0,559773.75,-4583552.0
-2286000.0,581021.6,-4590830.5
-2286000.0,602269.5,-4598109.0
-2286000.0,623517.4,-4605387.5
-2286000.0,644765.25,-4612666.0
-2286000.0,666013.2,-4619945.0
-2286000.0,687261.1,-4627223.5
-2286000.0,708509.0,-4634502.0
-2286000.0,729756.9,-4641780.5
-2286000.0,751004.75,-4649059.0
-2286000.0,772252.6,-4656337.5
-2286000.0,793500.56,-4663616.0
-2286000.0,814748.44,-4670895.0
-2286000.0,835996.3,-4678173.5
-2286000.0,857244.25,-4685452.0
-2286000.0,878492.1,-4692730.5
-2286000.0,899740.0,-4700009.0
-2286000.0,920987.9,-4707287.5
-2286000.0,942235.8,-4714566.0
-2286000.0,963483.7,-4721845.0
-2286000.0,984731.56,-4729123.5
-2286000.0,1005979.44,-4736402.0
-2286000.0,1027227.4,-4743680.5
-2286000.0,1048475.25,-4750959.0
-2286000.0,1069723.2,-4758237.5
-2286000.0,1090971.0,-4765516.0
-2286000.0,1112219.0,-4772795.0
-2286000.0,1133466.9,-4780073.5
-2286000.0,1154714.8,-4787352.0
-2286000.0,1175962.6,-4794630.5
-2286000.0,1197210.5,-4801909.0
-2286000.0,1218458.5,-4809187.5
-2286000.0,1239706.2,-4816466.5
-2286000.0,1260954.2,-4823745.0
-2286000.0,1282202.1,-4831023.5
-2286000.0,1303450.0,-4838302.0
-1219200.0,5080000.0,0.0
-1219200.0,5080000.0,-18101.262
-1219200.0,5080000.0,-36202.523
-1219200.0,5080000.0,-54303.785
-1219200.0,5080000.0,-72405.05
-1219200.0,5080000.0,-90506.31
-1219200.0,5080000.0,-108607.57
-1219200.0,5080000.0,-126708.83
-1219200.0,5080000.0,-144810.1
-1219200.0,5080000.0,-162911.34
-1219200.0,5080000.0,-181012.62
-1219200.0,5080000.0,-199113.88
-1219200.0,5080000.0,-217215.14
-1219200.0,5080000.0,-235316.39
-1219200.0,5080000.0,-253417.66
-1219200.0,5080000.0,-271518.94
-1219200.0,5080000.0,-289620.2
-1219200.0,5080000.0,-307721.44
-1219200.0,5080000.0,-325822.7
-1219200.0,5080000.0,-343923.97
-1219200.0,5080000.0,-362025.25
-1219200.0,5080000.0,-380126.47
-1219200.0,5080000.0,-398227.75
