tx,ty,tz
2049992.0,1646747.1,6494629.5
2041030.9,1659123.8,6542237.5
2032069.6,1671500.5,6589845.5
2023108.5,1683877.1,6637453.5
2014147.4,1696253.8,6685061.5
2005186.2,1708630.4,6732669.5
1996225.0,1721007.0,6780277.5
1987263.9,1733383.6,6827885.5
1978302.8,1745760.2,6875493.5
1969341.6,1758137.0,6923101.0
1960380.4,1770513.6,6970709.0
1951419.2,1782890.2,7018317.0
1942458.1,1795266.9,7065925.0
1933497.0,1807643.5,7113533.0
1924535.8,1820020.1,7161141.0
1915574.6,1832396.8,7208749.0
1906613.5,1844773.5,7256357.0
1897652.4,1857150.1,7303965.0
1888691.1,1869526.8,7351572.5
1879730.0,1881903.4,7399180.5
1870768.9,1894280.0,7446788.5
1861807.8,1906656.6,7494396.5
1852846.5,1919033.4,7542004.5
1843885.4,1931410.0,7589612.5
1834924.2,1943786.6,7637220.5
1825963.1,1956163.2,7684828.5
1817001.9,1968539.9,7732436.5
1808040.8,1980916.5,7780044.0
1799079.6,1993293.1,7827652.0
1790118.5,2005669.9,7875260.0
1781157.2,2018046.5,7922868.0
1772196.1,2030423.1,7970476.0
1763235.0,2042799.8,8018084.0
1754273.9,2055176.4,8065692.0
1745312.6,2067553.0,8113300.0
1736351.5,2079929.8,8160908.0
1727390.4,2092306.4,8208515.5
1718429.2,2104683.0,8256123.5
1709468.0,2117059.5,8303731.5
1700506.9,2129436.2,8351339.5
1691545.8,2141813.0,8398948.0
1682584.6,2154189.5,8446555.0
1679120.8,2106464.0,8432055.0
1688081.9,2094087.4,8384446.5
1697043.0,2081710.8,8336838.5
1706004.1,2069334.1,8289230.5
1714965.4,2056957.5,8241623.0
1723926.5,2044580.8,8194015.0
1732887.6,2032204.1,8146407.0
1741848.8,2019827.5,8098799.0
1750810.0,2007450.9,8051191.0
1759771.1,1995074.2,8003583.0
1768732.2,1982697.6,7955975.0
1777693.4,1970321.0,7908367.0
1786654.6,1957944.2,7860759.0
1795615.8,1945567.6,7813151.5
1804576.9,1933191.0,7765543.5
1813538.0,1920814.4,7717935.5
1822499.2,1908437.8,7670327.5
1831460.4,1896061.1,7622719.5
1840421.5,1883684.5,7575111.5
1849382.6,1871307.8,7527503.5
1858343.9,1858931.1,7479895.5
1867305.0,1846554.5,7432287.5
1876266.1,1834177.9,7384680.0
1885227.2,1821801.2,7337072.0
1894188.5,1809424.6,7289464.0
1903149.6,1797047.9,7241856.0
1912110.8,1784671.2,7194248.0
1921071.9,1772294.6,7146640.0
1930033.1,1759918.0,7099032.0
1938994.2,1747541.4,7051424.0
1947955.4,1735164.8,7003816.0
1956916.5,1722788.1,6956208.5
1965877.8,1710411.4,6908600.5
1974838.9,1698034.8,6860992.5
1983800.0,1685658.1,6813384.5
1992761.1,1673281.5,6765776.5
2001722.4,1660904.9,6718168.5
2010683.5,1648528.2,6670560.5
2019644.6,1636151.5,6622952.5
2028605.8,1623774.9,6575344.5
2037567.0,1611398.2,6527737.0
2025141.9,1576049.4,6560844.0
2016180.8,1588426.0,6608452.0
2007219.6,1600802.6,6656059.5
1998258.5,1613179.4,6703667.5
1989297.2,1625556.0,6751275.5
1980336.1,1637932.6,6798883.5
1971375.0,1650309.2,6846491.5
1962413.9,1662685.9,6894099.5
1953452.6,1675062.5,6941707.5
1944491.5,1687439.1,6989315.5
1935530.4,1699815.9,7036923.5
1926569.2,1712192.5,7084531.0
1917608.0,1724569.1,7132139.0
1908646.9,1736945.8,7179747.0
1899685.8,1749322.4,7227355.0
1890724.6,1761699.0,7274963.0
1881763.4,1774075.8,7322571.0
1872802.2,1786452.4,7370179.0
1863841.1,1798829.0,7417787.0
1854880.0,1811205.6,7465395.0
1845918.8,1823582.2,7513002.5
1836957.6,1835958.9,7560610.5
1827996.5,1848335.5,7608218.5
1819035.4,1860712.2,7655826.5
1810074.1,1873088.9,7703434.5
1801113.0,1885465.5,7751042.5
1792151.9,1897842.1,7798650.5
1783190.8,1910218.8,7846258.5
1774229.5,1922595.4,7893866.5
1765268.4,1934972.1,7941474.0
1756307.2,1947348.8,7989082.0
1747346.1,1959725.4,8036690.0
1738384.9,1972102.0,8084298.0
1729423.8,1984478.6,8131906.0
1720462.6,1996855.2,8179514.0
1711501.5,2009231.9,8227122.0
1702540.4,2021608.6,8274730.0
1693579.1,2033985.2,8322338.0
1684618.0,2046361.9,8369945.5
1681154.1,1998636.4,8355445.0
1690115.2,1986259.8,8307837.0
1699076.5,1973883.0,8260229.0
1708037.6,1961506.4,8212621.0
1716998.8,1949129.8,8165013.0
1725959.9,1936753.1,8117405.0
1734921.0,1924376.5,8069797.0
1743882.2,1911999.9,8022189.0
1752843.4,1899623.2,7974581.0
1761804.5,1887246.5,7926973.5
1770765.6,1874869.9,7879365.5
1779726.9,1862493.2,7831757.5
1788688.0,1850116.6,7784149.5
