tx,ty,tz
-169.486755,12.000000,90.000000
-168.830551,12.000000,90.000000
-168.174347,12.000000,90.000000
-167.518143,12.000000,90.000000
-166.861938,12.000000,90.000000
-166.205734,12.000000,90.000000
-165.549530,12.000000,90.000000
-164.893326,12.000000,90.000000
-164.237122,12.000000,90.000000
-163.580917,12.000000,90.000000
-162.924713,12.000000,90.000000
-162.268509,12.000000,90.000000
-161.612305,12.000000,90.000000
-160.956100,12.000000,90.000000
-160.299896,12.000000,90.000000
-159.643692,12.000000,90.000000
-158.987488,12.000000,90.000000
-158.331284,12.000000,90.000000
-157.675079,12.000000,90.000000
-157.018875,12.000000,90.000000
-156.362671,12.000000,90.000000
-155.706467,12.000000,90.000000
-155.050262,12.000000,90.000000
-154.394058,12.000000,90.000000
-153.737854,12.000000,90.000000
-153.081650,12.000000,90.000000
-152.425446,12.000000,90.000000
-151.769241,12.000000,90.000000
-151.113037,12.000000,90.000000
-150.456833,12.000000,90.000000
-149.800629,12.000000,90.000000
-149.144424,12.000000,90.000000
-148.488220,12.000000,90.000000
-147.832016,12.000000,90.000000
-147.175812,12.000000,90.000000
-146.519608,12.000000,90.000000
-145.863403,12.000000,90.000000
-145.207199,12.000000,90.000000
-144.550995,12.000000,90.000000
-143.894791,12.000000,90.000000
-143.238586,12.000000,90.000000
-142.582382,12.000000,90.000000
-141.926178,12.000000,90.000000
-141.269974,12.000000,90.000000
-140.613770,12.000000,90.000000
-139.957565,12.000000,90.000000
-139.301361,12.000000,90.000000
-138.645157,12.000000,90.000000
-137.988953,12.000000,90.000000
-137.332748,12.000000,90.000000
-136.676544,12.000000,90.000000
-136.020340,12.000000,90.000000
-135.364136,12.000000,90.000000
-134.707932,12.000000,90.000000
-134.051727,12.000000,90.000000
-133.395523,12.000000,90.000000
-132.739319,12.000000,90.000000
-132.083115,12.000000,90.000000
-131.426910,12.000000,90.000000
-130.770706,12.000000,90.000000
-130.114502,12.000000,90.000000
-129.458298,12.000000,90.000000
-128.802094,12.000000,90.000000
-128.145889,12.000000,90.000000
-127.489693,12.000000,90.000000
-126.833496,12.000000,90.000000
-126.177299,12.000000,90.000000
-125.521103,12.000000,90.000000
-124.864906,12.000000,90.000000
-124.208710,12.000000,90.000000
-123.552513,12.000000,90.000000
-122.896317,12.000000,90.000000
-122.240120,12.000000,90.000000
-121.583923,12.000000,90.000000
-120.927727,12.000000,90.000000
-120.271530,12.000000,90.000000
-119.615334,12.000000,90.000000
-118.959137,12.000000,90.000000
-118.302940,12.000000,90.000000
-117.646744,12.000000,90.000000
-116.990547,12.000000,90.000000
-116.334351,12.000000,90.000000
-115.678154,12.000000,90.000000
-115.021957,12.000000,90.000000
-114.365761,12.000000,90.000000
-113.709564,12.000000,90.000000
-113.053368,12.000000,90.000000
-112.397171,12.000000,90.000000
-111.740974,12.000000,90.000000
-111.084778,12.000000,90.000000
-110.428581,12.000000,90.000000
-109.772385,12.000000,90.000000
-109.116188,12.000000,90.000000
-108.459991,12.000000,90.000000
-107.803795,12.000000,90.000000
-107.147598,12.000000,90.000000
-106.491402,12.000000,90.000000
-105.835205,12.000000,90.000000
-105.179008,12.000000,90.000000
-104.522812,12.000000,90.000000
-103.866615,12.000000,90.000000
-103.210419,12.000000,90.000000
-102.554222,12.000000,90.000000
-101.898026,12.000000,90.000000
-101.241829,12.000000,90.000000
-100.585632,12.000000,90.000000
-99.929436,12.000000,90.000000
-99.273239,12.000000,90.000000
-98.617043,12.000000,90.000000
-97.960846,12.000000,90.000000
-97.304649,12.000000,90.000000
-96.648453,12.000000,90.000000
-95.992256,12.000000,90.000000
-95.336060,12.000000,90.000000
-94.679863,12.000000,90.000000
-94.023666,12.000000,90.000000
-93.367470,12.000000,90.000000
-92.711273,12.000000,90.000000
-92.055077,12.000000,90.000000
-91.398880,12.000000,90.000000
-90.742683,12.000000,90.000000
-90.086487,12.000000,90.000000
-89.430290,12.000000,90.000000
-88.774094,12.000000,90.000000
-88.117897,12.000000,90.000000
-87.461700,12.000000,90.000000
-86.805504,12.000000,90.000000
-86.149307,12.000000,90.000000
-85.493111,12.000000,90.000000
-84.836914,12.000000,90.000000
-84.180717,12.000000,90.000000
-83.524521,12.000000,90.000000
-82.868324,12.000000,90.000000
-82.212128,12.000000,90.000000
-81.555931,12.000000,90.000000
