tx,ty,tz
0.0,304799.0,8229600.0
0.0,304799.0,8229600.0
-183444.38,526721.4,8279611.5
-366888.88,748643.9,8329623.0
-550333.25,970566.25,8379634.5
-733777.75,1192488.8,8429646.0
-917222.2,1414411.2,8479658.0
-1100666.6,1636333.6,8529669.0
-1284111.1,1858256.1,8579681.0
-1467555.5,2080178.5,8629692.0
-1651000.0,2302101.0,8679704.0
-1651000.0,2302101.0,8679704.0
-1470233.6,2483885.5,8569240.0
-1289467.1,2665670.0,8458776.0
-1108700.8,2847454.5,8348312.0
-927934.3,3029239.2,8237848.0
-747167.9,3211023.8,8127384.5
-566401.44,3392808.5,8016920.5
-385635.03,3574593.0,7906456.5
-204868.62,3756377.5,7795992.5
-24102.19,3938162.0,7685528.5
0.0,3962400.0,7670800.0
0.0,3962400.0,7670800.0
-134620.0,3962400.0,7640320.0
-269240.0,3962400.0,7609840.0
-403860.0,3962400.0,7579360.0
-538479.94,3962400.0,7548880.0
-673100.0,3962400.0,7518400.0
-807720.0,3962400.0,7487920.0
-942340.0,3962400.0,7457440.0
-1076960.0,3962400.0,7426960.0
-1211580.0,3962400.0,7396480.0
-1346200.0,3962400.0,7366000.0
-1346200.0,3962400.0,7366000.0
-1378857.1,3784510.8,7506754.0
-1411514.2,3606621.5,7647508.0
-1444171.4,3428732.5,7788262.0
-1476828.6,3250843.2,7929016.0
-1509485.8,3072954.0,8069770.0
-1542142.9,2895065.0,8210524.0
-1574800.0,2717175.8,8351278.0
-1607457.1,2539286.5,8492032.0
-1640114.2,2361397.5,8632786.0
-1651000.0,2302101.0,8679704.0
-1651000.0,2302101.0,8679704.0
-1467555.5,2080178.5,8629692.0
-1284111.1,1858256.1,8579681.0
-1100666.6,1636333.6,8529669.0
-917222.2,1414411.2,8479658.0
-733777.75,1192488.8,8429646.0
-550333.25,970566.25,8379634.5
-366888.88,748643.9,8329623.0
-183444.38,526721.4,8279611.5
0.0,304799.0,8229600.0
0.0,304799.0,8229600.0
-179033.0,304799.0,8131945.5
-358066.0,304799.0,8034291.0
-537099.1,304799.0,7936637.0
-716132.06,304799.0,7838982.5
-895165.06,304799.0,7741328.0
-1074198.0,304799.0,7643674.0
-1253231.0,304799.0,7546019.5
-1432264.0,304799.0,7448365.0
-1611297.1,304799.0,7350710.5
-1676400.0,304799.0,7315200.0
-1676400.0,304799.0,7315200.0
-1673685.5,518251.12,7461025.0
-1670971.0,731703.25,7606850.0
-1668256.5,945155.4,7752674.5
-1665542.0,1158607.5,7898499.5
-1662827.5,1372059.6,8044324.0
-1660113.0,1585511.8,8190149.0
-1657398.5,1798963.9,8335974.0
-1654684.0,2012416.0,8481799.0
-1651969.5,2225868.0,8627624.0
-1651000.0,2302101.0,8679704.0
-1651000.0,2302101.0,8679704.0
-1697753.4,2237527.8,8431317.0
-1744506.8,2172954.8,8182930.5
-1791260.1,2108381.5,7934544.0
-1838013.5,2043808.5,7686157.0
-1884766.9,1979235.4,7437770.5
-1931520.2,1914662.2,7189384.0
-1978273.6,1850089.1,6940997.0
-2025027.0,1785516.0,6692610.0
-2071780.4,1720942.8,6444223.5
-2088478.0,1697881.0,6355514.0
-2088478.0,1697881.0,6355514.0
-2043686.9,1546459.0,6459827.5
-1998895.9,1395037.1,6564141.5
-1954104.8,1243615.1,6668455.0
-1909313.6,1092193.2,6772769.0
-1864522.5,940771.25,6877082.5
-1819731.5,789349.25,6981396.0
-1774940.4,637927.25,7085710.0
-1730149.2,486505.38,7190023.5
-1685358.2,335083.38,7294337.0
-1676400.0,304799.0,7315200.0
-1676400.0,304799.0,7315200.0
-1742407.6,304799.0,7009959.0
-1808415.2,304799.0,6704718.0
-1874423.0,304799.0,6399477.0
-1940430.5,304799.0,6094236.0
-2006438.2,304799.0,5788995.0
-2072445.9,304799.0,5483753.5
-2138453.5,304799.0,5178512.5
-2204461.2,304799.0,4873271.5
-2270468.8,304799.0,4568030.5
-2286000.0,304799.0,4496209.0
-2286000.0,304799.0,4496209.0
-2264239.0,458274.12,4701047.5
-2242478.2,611749.25,4905886.5
-2220717.2,765224.4,5110725.0
-2198956.5,918699.56,5315564.0
-2177195.5,1072174.8,5520402.5
-2155434.5,1225649.8,5725241.0
-2133673.8,1379124.9,5930080.0
-2111912.8,1532600.1,6134918.5
-2090151.9,1686075.2,6339757.0
-2088478.0,1697881.0,6355514.0
-2088478.0,1697881.0,6355514.0
-2009512.2,1938787.2,6463012.5
-1930546.5,2179693.5,6570511.0
-1851580.8,2420600.0,6678009.5
-1772615.0,2661506.0,6785508.0
