Edge ID	Signal from	Controller vertex	Priority	Pixels
10-100	Controller	100	High	48
10-11	10-100		High	188
10-115	100-115		High	119
10-117	10-115		High	158
100-115	Controller	100	Very High	76
101-102	99-101		Very High	138
101-121	Controller	101	High	107
102-111	Controller	102	Very High	116
102-119	Controller	102	High	147
102-121	101-102		High	154
109-110	27-109		Medium	83
109-111	Controller	109	High	83
109-112	112-113		Medium	138
109-113	Controller	109	High	138
11-100	11-98		Very High	209
11-98	98-100		Very High	105
110-111	109-110		Very High	128
110-119	Controller	109	Medium	147
111-119	102-119		Very High	147
112-113	109-113		Very High	185
112-114	114-116		Low	132
112-116	Controller	116	Medium	132
112-124	Controller	27	Medium	145
113-115	115-117		Very High	132
113-117	113-124		Very High	132
113-124	117-124		High	145
114-116	Controller	116	Low	93
115-117	Controller	117	High	93
116-124	Controller	116	Low	104
117-124	Controller	117	High	104
118-119	Controller	119	Very High - BiDi	175
119-120	Controller	119	Low	142
119-121	Controller	119	High	142
12-83	12-85		Low	209
12-85	Controller	85	Low	105
125-126	Controller	125	High	104
125-127	Controller	125	High	93
126-129	Controller	129	Low	104
128-129	Controller	129	Low	93
25-110	88-110		Low	123
25-114	Controller	25	Low	123
25-27	Controller	25	Medium	90
25-83	Controller	25	Low	155
25-84	25-88		Low	120
25-88	84-88		Low	61
26-100	Controller	26	High	155
26-102	99-102		High	61
26-111	102-111		High	123
26-115	Controller	102	High	123
26-28	26-111		High	90
26-99	26-102		High	120
27-109	Controller	27	Low	71
27-110	25-27		Low	58
27-112	Controller	27	Medium	113
27-114	25-114		Low	142
28-109	109-111		High	71
28-111	26-28		Very High	58
28-113	28-115		Very High	113
28-115	26-115		High	142
30-118	118-119		Very High - BiDi	86
30-31	Controller	30	High	168
30-33	Controller	30	Very High	138
30-38	33-38		Medium	138
30-42	Controller	30	Low	168
31-118	30-31		High	121
31-119	31-121		High	189
31-121	119-121		High	100
31-33	Controller	33	High	109
31-39	Controller	33	High	109
33-37	Controller	33	Very High	237
33-38	30-33		Medium	45
33-39	33-37		High	168
36-123	Controller	36	Medium	51
36-37	37-123		Low	77
36-38	Controller	36	Medium	237
36-43	43-57		Low	131
36-56	Controller	56	Low	60
36-57	36-56		Low	121
37-123	45-123		Very High	51
37-39	39-44		High	131
37-44	37-50		High	121
37-50	Controller	50	High	60
38-42	42-43		Low	109
38-43	36-38		Low	168
39-101	39-121		Very High	144
39-121	101-121		High	91
39-44	44-101		Very High	177
42-118	31-118		Low	121
42-119	42-120		Low	189
42-120	119-120		Low	100
42-43	Controller	43	Low	109
43-120	86-120		Low	91
43-57	57-86		High	177
43-86	Controller	43	High	144
44-101	Controller	101	Very High	179
44-47	47-50		Very High	177
44-50	37-44		Very High	123
45-122	Controller	122	Very High	133
45-123	Controller	45	Very High	145
45-46	Controller	45	Low	45
45-47	45-122		High	100
45-50	Controller	45	High	111
46-122	Controller	122	Medium	133
46-123	36-123		Medium	145
46-56	45-46		Low	111
46-58	46-122		Low	100
47-122	Controller	122	High	214
47-50	Controller	50	Very High	142
47-51	47-90		Very High	135
47-54	47-122		High	128
47-90	Controller	90	Very High	67
50-123	45-50		High	84
51-54	54-122		High	82
51-69	69-90		High	61
51-82	51-69		Very High	117
51-90	47-51		High	113
52-55	55-122		Low	82
52-58	58-96		Medium	135
52-75	Controller	52	Low	61
52-92	52-75		Medium	117
52-96	52-58		Low	113
54-122	Controller	122	High	113
54-82	82-122		High	151
55-122	Controller	122	Low	113
55-58	58-122		Low	128
55-92	92-122		Low	151
56-123	50-123		Low	84
56-57	Controller	56	High	123
56-58	Controller	56	High	142
57-58	56-58		High	177
57-86	Controller	86	High	179
58-122	Controller	122	Low	214
58-96	Controller	96	Low	67
60-125	60-127		High	158
60-127	93-127		High	119
60-65	60-93		High	188
60-93	Controller	93	High	48
65-67	67-93		Very High	105
65-93	65-67		Very High	209
67-90	90-93		Very High	160
67-93	Controller	93	High	129
69-127	Controller	69	High	123
69-70	69-82		High	90
69-82	Controller	69	High	123
69-90	Controller	90	High	120
69-93	Controller	69	High	155
70-127	69-127		High	142
70-81	Controller	70	High	71
70-82	69-70		Very High	58
70-89	70-127		Very High	113
73-128	75-128		Low	142
73-75	Controller	92	Medium	90
73-81	81-92		Low	71
73-91	Controller	92	Medium	113
73-92	73-75		Low	58
75-128	Controller	75	Low	123
75-92	Controller	92	Low	123
75-96	Controller	96	Low	120
75-97	Controller	75	Low	155
78-128	97-128		Low	119
78-129	Controller	97	Medium	158
78-79	Controller	97	Medium	188
78-97	Controller	97	Low	48
79-80	Controller	80	Medium	105
79-97	79-80		Low	209
80-96	Controller	80	Medium	160
80-97	Controller	97	Low	129
81-82	70-81		High	83
81-89	Controller	81	High	138
81-91	89-91		Medium	138
81-92	Controller	92	Medium	83
82-122	Controller	122	Very High	218
82-92	81-82		Very High	128
83-114	Controller	83	Low	76
83-84	25-83		Low	165
83-85	Controller	83	Low	129
84-85	Controller	86	Medium	159
84-86	Controller	84	Low	68
84-88	Controller	84	Medium	113
86-120	Controller	86	Low	107
86-88	84-86		Medium	138
88-110	Controller	88	Low	116
88-119	Controller	88	Low	147
88-120	86-88		Low	154
89-125	89-126		Very High	132
89-126	125-126		High	145
89-127	125-127		Very High	132
89-91	81-89		Very High	185
9-114	83-114		Low	119
9-116	Controller	83	Medium	158
9-12	Controller	83	Medium	188
9-83	Controller	83	Low	48
90-93	69-93		High	166
91-126	Controller	126	Medium	145
91-128	128-129		Low	132
91-129	91-126		Low	132
92-122	Controller	122	Medium	218
93-127	Controller	93	Very High	76
96-97	Controller	96	Low	166
97-128	Controller	97	Low	76
98-100	Controller	100	High	129
98-99	99-100		Very High	159
99-100	26-100		High	165
99-101	Controller	99	Very High	68
99-102	Controller	99	High	113
