Module	Location	Type	Fixture ID	Powerbox Vertex	Powerbox ID
1	SA	Panel	SCA	100	100-0
1	SA	Panel	SCB	100	100-0
1	SA	Edge	10-100	100	100-0
1	SA	Edge	98-100	100	100-0
1	SA	Edge	10-11	100	100-0
1	SA	Edge	11-98	100	100-0
1	SA	Edge	11-100	115	115-0
1	SA	Panel	SBA	115	115-0
1	SA	Panel	SAA	115	115-0
1	SA	Edge	100-115	115	115-0
1	SA	Panel	SBB	115	115-0
1	SA	Edge	10-115	115	115-0
1	SA	Panel	ASA	117	117-0
1	SA	Edge	117-124	117	117-0
1	SA	Edge	115-117	117	117-0
1	SA	Edge	113-117	117	117-0
1	SA	Edge	10-117	117	117-0
1	SA	Edge	113-124	117	117-0
1	SA	Edge	113-115	117	117-0
2	SA	Panel	SBD	100	100-1
2	SA	Panel	SCC	100	100-1
2	SA	Edge	99-100	100	100-1
2	SA	Edge	98-99	100	100-1
2	SA	Panel	SAB	115	115-1
2	SA	Panel	SAC	115	115-1
2	SA	Panel	SBC	115	115-1
2	SA	Edge	28-115	115	115-1
2	SA	Edge	26-115	115	115-1
2	SA	Edge	28-113	115	115-1
2	SA	Edge	26-100	115	115-1
4	SA	Edge	31-121	31	31-0
4	SA	Edge	31-119	31	31-0
4	SA	Edge	31-118	31	31-0
4	SA	Edge	30-33	31	31-0
4	SA	Edge	30-31	31	31-0
4	V	Edge	118-119	31	31-0
4	SA	Edge	119-121	31	31-0
4	SA	Edge	31-33	31	31-0
4	C	Edge	33-38	31	31-0
4	PA	Edge	42-120	42	42-0
4	PA	Edge	42-119	42	42-0
4	PA	Edge	42-118	42	42-0
4	PA	Edge	30-38	42	42-0
4	PA	Edge	30-42	42	42-0
4	V	Edge	30-118	42	42-0
4	PA	Edge	119-120	42	42-0
4	PA	Edge	38-42	42	42-0
8	SF	Edge	69-82	69	69-0
8	SF	Edge	51-69	69	69-0
8	SF	Edge	69-90	69	69-0
8	SF	Edge	47-90	69	69-0
8	SF	Panel	SFD	69	69-0
8	SF	Panel	SEE	69	69-0
8	SF	Edge	70-82	69	69-0
8	SF	Edge	69-70	69	69-0
8	SF	Edge	51-82	69	69-0
8	SF	Edge	51-90	69	69-0
8	SF	Edge	47-51	69	69-0
9	SF	Panel	SFB	127	127-1
9	SF	Panel	SFC	127	127-1
9	SF	Panel	SEC	127	127-1
9	SF	Edge	70-127	127	127-1
9	SF	Edge	69-127	127	127-1
9	SF	Edge	70-89	127	127-1
9	SF	Edge	69-93	127	127-1
9	SF	Panel	SED	93	93-1
9	SF	Panel	SDC	93	93-1
9	SF	Edge	90-93	93	93-1
9	SF	Edge	67-90	93	93-1
10	SF	Panel	FSA	125	125-0
10	SF	Edge	125-126	125	125-0
10	SF	Edge	125-127	125	125-0
10	SF	Edge	89-125	125	125-0
10	SF	Edge	60-125	125	125-0
10	SF	Edge	89-126	125	125-0
10	SF	Edge	89-127	125	125-0
10	SF	Edge	65-93	127	127-0
10	SF	Panel	SEA	127	127-0
10	SF	Panel	SFA	127	127-0
10	SF	Edge	93-127	127	127-0
10	SF	Panel	SEB	127	127-0
10	SF	Edge	60-127	127	127-0
10	SF	Panel	SDA	93	93-0
10	SF	Panel	SDB	93	93-0
10	SF	Edge	60-93	93	93-0
10	SF	Edge	67-93	93	93-0
10	SF	Edge	60-65	93	93-0
10	SF	Edge	65-67	93	93-0
11	PF	Edge	79-97	128	128-0
11	PF	Panel	PBA	128	128-0
11	PF	Panel	PAA	128	128-0
11	PF	Edge	97-128	128	128-0
11	PF	Panel	PBB	128	128-0
11	PF	Edge	78-128	128	128-0
11	PF	Panel	FPA	129	129-0
11	PF	Edge	126-129	129	129-0
11	PF	Edge	128-129	129	129-0
11	PF	Edge	91-129	129	129-0
11	PF	Edge	78-129	129	129-0
11	PF	Edge	91-126	129	129-0
11	PF	Edge	91-128	129	129-0
11	PF	Panel	PCA	97	97-0
11	PF	Panel	PCB	97	97-0
11	PF	Edge	78-97	97	97-0
11	PF	Edge	80-97	97	97-0
11	PF	Edge	78-79	97	97-0
11	PF	Edge	79-80	97	97-0
12	PF	Panel	PAB	97	128-1
12	PF	Panel	PAC	128	128-1
12	PF	Panel	PBC	128	128-1
12	PF	Edge	73-128	128	128-1
12	PF	Edge	75-128	128	128-1
12	PF	Edge	73-91	128	128-1
12	PF	Edge	75-97	128	128-1
12	PF	Panel	PBD	97	97-1
12	PF	Panel	PCC	97	97-1
12	PF	Edge	96-97	97	97-1
12	PF	Edge	80-96	97	97-1
13	PF	Edge	75-92	75	75-0
13	PF	Edge	52-75	75	75-0
13	PF	Edge	75-96	75	75-0
13	PF	Edge	58-96	75	75-0
13	PF	Panel	PAD	75	75-0
13	PF	Panel	PBE	75	75-0
13	PF	Edge	73-92	75	75-0
13	PF	Edge	73-75	75	75-0
13	PF	Edge	52-92	75	75-0
13	PF	Edge	52-96	75	75-0
13	PF	Edge	52-58	75	75-0
18	PA	Panel	PFB	114	114-1
18	PA	Panel	PFC	114	114-1
18	PA	Panel	PEC	114	114-1
18	PA	Edge	27-114	114	114-1
18	PA	Edge	25-114	114	114-1
18	PA	Edge	27-112	114	114-1
18	PA	Edge	25-83	114	114-1
18	PA	Panel	PED	83	83-1
18	PA	Panel	PDC	83	83-1
18	PA	Edge	83-84	83	83-1
18	PA	Edge	84-85	83	83-1
19	PA	Edge	12-83	114	114-0
19	PA	Panel	PEA	114	114-0
19	PA	Panel	PFA	114	114-0
19	PA	Edge	83-114	114	114-0
19	PA	Panel	PEB	114	114-0
19	PA	Edge	9-114	114	114-0
19	PA	Panel	APA	116	116-0
19	PA	Edge	116-124	116	116-0
19	PA	Edge	114-116	116	116-0
19	PA	Edge	112-116	116	116-0
19	PA	Edge	9-116	116	116-0
19	PA	Edge	112-124	116	116-0
19	PA	Edge	112-114	116	116-0
19	PA	Panel	PDA	83	83-0
19	PA	Panel	PDB	83	83-0
19	PA	Edge	9-83	83	83-0
19	PA	Edge	83-85	83	83-0
19	PA	Edge	9-12	83	83-0
19	PA	Edge	12-85	83	83-0
20	A	Panel	AA	109	109-0
20	A	Panel	AB	109	109-0
20	A	Edge	112-113	109	109-0
20	A	Edge	109-113	109	109-0
20	A	Edge	27-109	109	109-1
20	A	Edge	109-111	109	109-1
20	A	Panel	ASB	109	109-1
20	A	Panel	APB	109	109-1
20	A	Edge	109-112	109	109-1
20	A	Panel	ASC	109	109-1
20	A	Panel	APC	109	109-1
20	A	Edge	28-109	109	109-1
20	A	Edge	109-110	109	109-1
20	A	Edge	110-111	109	109-1
21	F	Panel	FA	81	81-0
21	F	Panel	FB	81	81-0
21	F	Edge	89-91	81	81-0
21	F	Edge	81-89	81	81-0
21	F	Edge	73-81	81	81-1
21	F	Edge	81-82	81	81-1
21	F	Panel	FSB	81	81-1
21	F	Panel	FPB	81	81-1
21	F	Edge	81-91	81	81-1
21	F	Panel	FSC	81	81-1
21	F	Panel	FPC	81	81-1
21	F	Edge	70-81	81	81-1
21	F	Edge	81-92	81	81-1
21	F	Edge	82-92	81	81-1
17H	PA	Edge	88-120	88	88-0
17H	PA	Edge	110-119	88	88-0
17H	PA	Edge	88-119	88	88-0
17H	PA	Edge	86-120	88	88-0
17L	PA	Edge	25-110	25	25-0
17L	PA	Edge	25-88	25	25-0
17L	PA	Edge	25-84	25	25-0
17L	PA	Edge	84-86	25	25-0
17L	PA	Panel	PFD	25	25-0
17L	PA	Panel	PEE	25	25-0
17L	PA	Edge	27-110	25	25-0
17L	PA	Edge	25-27	25	25-0
17L	PA	Edge	88-110	25	25-0
17L	PA	Edge	84-88	25	25-0
17L	PA	Edge	86-88	25	25-0
3H	SA	Edge	102-121	102	102-0
3H	SA	Edge	111-119	102	102-0
3H	SA	Edge	102-119	102	102-0
3H	SA	Edge	101-121	102	102-0
3L	SA	Edge	26-111	26	26-0
3L	SA	Edge	26-102	26	26-0
3L	SA	Edge	26-99	26	26-0
3L	SA	Edge	99-101	26	26-0
3L	SA	Panel	SAD	26	26-0
3L	SA	Panel	SBE	26	26-0
3L	SA	Edge	28-111	26	26-0
3L	SA	Edge	26-28	26	26-0
3L	SA	Edge	102-111	26	26-0
3L	SA	Edge	99-102	26	26-0
3L	SA	Edge	101-102	26	26-0
5&15	S	Edge	33-37	36.5	36.5-0
5&15	S	Edge	31-39	36.5	36.5-0
5&15	P	Edge	36-38	36.5	36.5-0
5&15	P	Edge	42-43	36.5	36.5-0
5&15	S	Edge	33-39	36.5	36.5-0
5&15	P	Edge	38-43	36.5	36.5-0
6&7	S	Panel	SUA	101	101-0
6&7	S	Edge	39-121	101	101-0
6&7	S	Edge	44-101	101	101-0
6&7	S	Edge	39-44	101	101-0
6&7	S	Edge	37-39	101	101-0
6&7	S	Edge	39-101	101	101-0
6&7	S	Edge	47-54	47	47-0
6&7	S	Edge	47-122	47	47-0
6&7	S	Edge	45-122	47	47-0
6&7	S	Edge	47-50	47	47-0
6&7	S	Edge	44-47	47	47-0
6&7	S	Edge	45-123	47	47-0
6&7	S	Edge	54-122	47	47-0
6&7	C	Edge	45-46	47	47-0
6&7	S	Panel	SUF	50	50-0
6&7	S	Edge	37-50	50	50-0
6&7	S	Edge	45-50	50	50-0
6&7	S	Edge	44-50	50	50-0
6&7	S	Edge	37-123	50	50-0
6&7	S	Edge	50-123	50	50-0
6&7	C	Edge	36-37	50	50-0
6&7	S	Edge	37-44	50	50-0
6&7	S	Edge	45-47	50	50-0
6&7	P	Panel	PUF	56	56-0
6&7	P	Edge	36-56	56	56-0
6&7	P	Edge	46-56	56	56-0
6&7	P	Edge	56-57	56	56-0
6&7	P	Edge	36-123	56	56-0
6&7	P	Edge	56-123	56	56-0
6&7	P	Edge	36-57	56	56-0
6&7	P	Edge	46-58	56	56-0
6&7	P	Edge	55-58	58	58-0
6&7	P	Edge	56-58	58	58-0
6&7	P	Edge	57-58	58	58-0
6&7	P	Edge	46-123	58	58-0
6&7	P	Edge	46-122	58	58-0
6&7	P	Edge	55-122	58	58-0
6&7	S	Edge	54-82	82	82-0
6&7	S	Edge	82-122	82	82-0
6&7	S	Edge	51-54	82	82-0
6&7	P	Panel	PUA	86	86-0
6&7	P	Edge	43-120	86	86-0
6&7	P	Edge	57-86	86	86-0
6&7	P	Edge	43-57	86	86-0
6&7	P	Edge	36-43	86	86-0
6&7	P	Edge	43-86	86	86-0
6&7	P	Edge	55-92	92	92-0
6&7	P	Edge	92-122	92	92-0
6&7	P	Edge	52-55	92	92-0
6&8	P	Edge	58-122	58	58-0
