Vertex																
100	10-100	10-11	10-115	10-117	100-115	11-100	11-98	98-100								
101	101-121	37-39	39-101	39-121	39-44	44-101										
102	102-111	102-119	111-119	26-111	26-28	28-111										
109	109-112	109-113	112-113													
111	109-111	28-109														
113	#N/A															
116	112-114	112-116	112-124	114-116	116-124											
117	113-115	113-117	113-124	115-117	117-124											
119	118-119	119-120	119-121	30-118	31-119	31-121	42-119	42-120								
122	45-122	45-47	46-122	46-58	47-122	47-54	51-54	52-55	54-122	54-82	55-122	55-58	55-92	58-122	82-122	92-122
124	#N/A															
125	125-126	125-127	89-125	89-126	89-127											
126	#N/A															
128	#N/A															
129	126-129	128-129	91-126	91-128	91-129											
25	25-114	25-83	27-112	27-114	83-84	84-85										
26	26-100	26-115	28-113	28-115	98-99	99-100										
27	109-110	110-111	27-109													
30	30-31	30-33	30-38	30-42	31-118	33-38	42-118									
33	31-33	31-39	31-42	33-37	33-39	38-42										
36	36-38	38-43	42-43													
45	36-123	36-37	37-123	45-123	45-46	45-50	46-123	46-56	50-123	56-123						
50	37-44	37-50	44-47	44-50	47-50											
56	36-56	36-57	56-57	56-58	57-58											
60	#N/A															
69	67-90	69-127	69-93	70-127	70-89	90-93										
70	70-81	81-82	82-92													
75	73-128	73-91	75-128	75-97	80-96	96-97										
81	81-89	81-91	89-91													
82	69-70	69-82	70-82													
83	12-83	12-85	83-114	83-85	9-114	9-116	9-12	9-83								
84	25-84	25-88	84-86	84-88	86-88	88-120										
86	36-43	43-120	43-57	43-86	57-86	86-120										
88	110-119	25-110	25-27	27-110	88-110	88-119										
90	47-51	47-90	51-69	51-82	51-90	69-90										
92	73-75	73-81	73-92	75-92	81-92											
93	60-125	60-127	60-65	60-93	65-67	65-93	67-93	93-127								
96	52-58	52-96	58-96													
97	52-75	52-92	75-96	78-128	78-129	78-79	78-97	79-80	79-97	80-97	97-128					
99	101-102	102-121	26-102	26-99	99-101	99-102										
